500 100000
100 426 6.8033
349 17 2.9028
249 110 8.3662
9 247 3.6124
165 41 7.4688
65 69 6.8057
11 416 7.1959
319 285 8.7495
318 213 6.3021
449 32 4.6744
275 414 8.7992
475 132 6.1223
189 424 8.8947
493 403 5.0888
384 50 8.3548
45 485 7.8128
358 201 5.9961
482 414 1.0410
395 475 7.0563
154 93 5.3569
427 434 3.8126
441 468 5.0135
341 89 0.7642
389 91 2.3864
180 26 9.1804
388 402 4.8413
324 50 7.6023
397 5 1.6065
66 154 0.0693
428 317 5.2966
266 12 2.3017
14 433 3.7219
341 74 8.0082
361 27 8.1584
421 49 2.3498
307 375 9.8798
399 144 9.5914
241 208 4.0102
120 170 9.4297
72 281 5.1451
46 257 6.1530
496 26 8.7817
351 206 1.7871
6 119 7.7017
135 434 8.4727
165 351 0.1587
284 64 6.7130
206 184 2.4307
134 46 3.3673
496 234 1.0873
414 116 2.7311
106 451 6.1661
466 230 7.0420
433 261 6.4783
110 439 3.5063
343 158 8.9386
216 44 2.5335
394 457 6.7364
263 361 4.4153
254 260 7.5265
132 371 0.7664
40 122 8.8605
404 23 6.9135
140 309 1.7188
33 396 4.4762
360 54 3.9000
400 105 5.9623
2 348 2.3895
259 299 0.8273
85 191 9.5964
102 31 1.7634
49 277 2.8150
488 369 3.7291
226 269 2.6658
453 204 5.2419
5 179 6.9249
434 72 8.7457
315 73 1.4151
321 388 5.6756
309 266 0.5657
81 315 2.6716
57 166 5.9786
48 229 8.6706
430 313 9.1861
109 55 7.6986
326 149 3.3359
446 405 0.7992
486 35 5.4776
253 423 7.1644
183 272 1.4885
424 33 2.1129
273 147 0.4493
439 244 9.8461
206 174 0.4476
399 259 3.8694
413 265 2.4807
297 388 3.9890
365 20 2.4302
232 434 0.4296
2 23 8.7729
293 82 0.1499
255 483 1.0239
154 339 6.5207
341 383 3.5185
343 61 5.8998
284 338 6.1533
289 319 5.4119
339 186 2.1221
95 466 3.6638
486 406 9.0572
368 435 8.1331
401 10 9.2047
423 309 1.1720
187 343 9.1838
375 331 9.4191
198 453 3.8480
442 19 9.5728
55 188 5.8723
61 43 9.3286
100 377 1.9764
39 248 6.2779
92 167 1.3923
495 8 5.9189
316 468 6.5057
465 295 7.2234
194 280 2.2257
334 133 8.2744
146 150 1.5020
66 188 6.3436
340 371 7.6491
370 318 5.8483
66 205 8.3692
238 65 1.1389
310 194 1.3322
42 432 9.3952
267 343 7.2909
136 191 6.6966
198 369 1.9554
497 328 4.9182
143 290 2.2375
177 103 2.6407
486 397 2.8961
472 197 4.8728
170 72 2.1374
67 167 8.4695
428 374 4.2365
331 370 1.7107
493 476 7.4594
432 3 7.5005
46 253 0.3505
97 361 1.3856
97 302 3.7139
319 407 3.7628
488 484 4.2680
4 27 2.2512
317 228 3.3759
197 277 6.1879
498 400 7.6384
431 319 0.8269
85 242 1.7565
140 76 4.8080
57 374 9.8382
239 350 5.5423
341 86 4.4542
348 126 7.3481
40 114 6.5519
351 270 1.0788
233 406 3.7813
169 161 2.7131
224 321 3.7947
427 216 0.5412
195 371 6.9877
447 16 9.6063
40 432 5.4640
462 397 2.4889
369 295 2.5783
344 353 4.4257
84 391 6.7325
118 210 2.8305
473 124 5.8615
465 361 3.4950
474 59 5.1279
107 183 9.0716
127 86 3.4793
173 139 7.0602
318 315 7.9750
155 328 3.2371
64 346 3.3108
192 43 7.9335
2 407 9.9962
237 227 4.4870
457 324 9.2792
230 59 9.0646
198 9 2.7900
398 330 9.9893
14 15 9.5935
451 278 9.2014
97 246 5.8739
117 267 9.1863
156 16 3.9043
358 483 8.9893
452 174 6.8156
373 440 0.3586
274 25 3.5662
278 342 0.1052
489 464 7.7591
226 18 6.2745
29 65 1.7987
292 390 7.0136
259 319 3.6082
22 200 6.7425
398 206 5.2681
350 302 9.4510
137 345 0.0534
200 257 1.2134
377 224 9.9613
150 258 5.5186
405 212 6.6897
414 192 1.2378
344 456 4.6847
13 243 2.6692
295 20 2.2134
440 148 2.8275
493 486 6.5462
59 12 2.0568
476 479 6.4001
469 395 4.7767
216 106 6.1514
99 332 9.9124
58 121 5.3790
214 298 1.2585
310 355 9.2443
72 458 2.0712
182 437 9.8526
348 46 4.1792
204 495 2.6676
313 47 8.3904
429 90 3.8942
34 365 2.7611
114 36 9.2308
192 78 7.5841
269 138 7.8126
10 144 9.9343
79 154 8.1157
18 479 4.4790
116 85 6.7909
280 403 7.5625
360 93 9.5502
406 37 8.3484
55 224 6.7993
134 251 4.6822
483 266 6.9144
86 427 9.8943
157 280 3.4050
367 54 9.6371
34 250 7.2603
323 25 9.4876
378 115 2.8858
189 249 1.2514
275 84 7.3947
435 59 1.2129
353 16 9.7493
102 345 6.3380
20 243 9.6255
150 176 8.5533
221 247 6.3652
68 357 4.1574
387 86 3.5859
183 455 5.8098
208 286 3.1142
239 116 7.1824
333 484 2.2033
7 172 6.4164
160 362 9.2774
4 116 2.8177
12 93 5.0729
138 399 3.3801
242 44 7.5788
80 123 5.4302
246 127 8.2574
478 339 8.9073
495 159 5.5144
18 410 8.8386
130 412 1.3146
308 115 6.7959
199 218 8.0685
487 207 1.3670
276 274 0.9136
264 490 3.4592
440 33 5.7483
207 59 7.7314
27 316 1.1626
81 189 1.5074
15 181 9.0066
325 27 7.6693
304 125 6.3431
452 410 5.2283
491 140 3.6873
308 377 1.9011
81 454 6.8831
367 227 6.0421
356 296 5.4018
374 51 0.5918
210 170 1.2701
487 457 0.2520
137 26 0.8801
220 67 2.6514
409 76 9.8179
340 25 6.8105
53 74 0.5400
55 427 5.9582
101 383 4.0136
345 18 3.9089
161 455 8.0213
49 300 0.0405
116 406 7.6038
459 429 6.1421
476 446 4.0947
302 205 5.9623
38 322 4.0446
166 251 1.5078
366 406 3.0818
173 151 8.2052
416 431 2.1628
269 92 3.4999
1 79 7.3402
172 221 5.7280
85 345 2.5671
27 372 1.5388
71 402 7.0485
440 52 3.1334
21 219 4.3634
54 410 9.5564
75 374 6.2653
392 77 6.4696
289 293 0.8445
16 155 9.7945
329 338 9.9225
73 235 6.9692
